Index,Project Name,Version,Release ID,Release Date
1,SYNCOPE,1.0.0-incubating,12320044,2012-08-06
2,SYNCOPE,1.0.1-incubating,12322540,2012-08-29
3,SYNCOPE,1.0.3-incubating,12323346,2012-09-30
4,SYNCOPE,1.0.2-incubating,12323254,2012-10-02
5,SYNCOPE,1.0.4,12323474,2012-12-10
6,SYNCOPE,1.0.5,12323749,2013-01-23
7,SYNCOPE,1.0.6,12324001,2013-02-27
8,SYNCOPE,1.0.7,12324104,2013-03-26
9,SYNCOPE,1.1.0,12322504,2013-04-05
10,SYNCOPE,1.0.8,12324279,2013-04-18
11,SYNCOPE,1.1.1,12324290,2013-04-29
12,SYNCOPE,1.1.2,12324382,2013-06-11
13,SYNCOPE,1.1.3,12324604,2013-07-12
14,SYNCOPE,1.1.4,12324763,2013-09-27
15,SYNCOPE,1.1.5,12325150,2013-11-28
16,SYNCOPE,1.1.6,12325662,2014-02-22
17,SYNCOPE,1.0.9,12324337,2014-04-11
18,SYNCOPE,1.1.8,12326735,2014-07-03
19,SYNCOPE,1.2.0,12328548,2014-10-03
20,SYNCOPE,1.2.1,12328766,2014-11-17
21,SYNCOPE,1.2.2,12329017,2015-01-30
22,SYNCOPE,1.2.3,12329368,2015-03-20
23,SYNCOPE,1.2.4,12329742,2015-05-05
24,SYNCOPE,1.2.5,12332351,2015-07-28
25,SYNCOPE,1.2.6,12333143,2015-11-05
26,SYNCOPE,1.2.7,12334148,2016-01-15
27,SYNCOPE,1.2.8,12334697,2016-06-03
28,SYNCOPE,2.0.0,12338165,2016-09-09
29,SYNCOPE,1.2.9,12336041,2016-10-07
30,SYNCOPE,2.0.1,12338232,2016-10-21
31,SYNCOPE,1.2.10,12338393,2017-01-24
32,SYNCOPE,2.0.2,12338573,2017-01-27
33,SYNCOPE,2.0.3,12339252,2017-04-15
34,SYNCOPE,2.0.4,12340328,2017-07-03
35,SYNCOPE,2.0.5,12341027,2017-09-06
36,SYNCOPE,2.0.6,12341555,2017-10-09
37,SYNCOPE,2.0.7,12341740,2017-12-22
38,SYNCOPE,1.2.11,12339251,2018-03-13
39,SYNCOPE,2.0.9,12342943,2018-06-28
40,SYNCOPE,2.1.0,12334366,2018-07-05
41,SYNCOPE,2.0.10,12343556,2018-08-17
42,SYNCOPE,2.0.11,12343902,2018-11-02
43,SYNCOPE,2.0.12,12344405,2019-01-17
44,SYNCOPE,2.0.13,12344848,2019-04-19
45,SYNCOPE,2.0.14,12345389,2019-09-12
46,SYNCOPE,2.0.15,12346167,2020-04-29
47,SYNCOPE,2.0.16,12348191,2020-09-11
48,SYNCOPE,2.1.8,12348788,2020-12-18
49,SYNCOPE,2.1.9,12349506,2021-04-07
50,SYNCOPE,2.1.10,12350056,2021-10-08
51,SYNCOPE,2.1.11,12350677,2022-03-18
52,SYNCOPE,2.1.12,12351474,2022-08-05
53,SYNCOPE,3.0.0,12352388,2022-11-11
54,SYNCOPE,2.1.13,12352175,2022-12-09
55,SYNCOPE,3.0.1,12352502,2023-01-13
56,SYNCOPE,3.0.2,12352746,2023-02-17
57,SYNCOPE,2.1.14,12352666,2023-05-05
58,SYNCOPE,3.0.4,12353204,2023-07-07
59,SYNCOPE,3.0.5,12353404,2023-09-29
60,SYNCOPE,3.0.6,12353676,2023-12-22
61,SYNCOPE,3.0.7,12354069,2024-05-20
62,SYNCOPE,3.0.8,12354686,2024-07-19
63,SYNCOPE,3.0.9,12354957,2024-10-21
64,SYNCOPE,3.0.10,12355214,2024-12-27
65,SYNCOPE,3.0.11,12355529,2025-03-07
66,SYNCOPE,3.0.12,12355759,2025-05-23
67,SYNCOPE,3.0.13,12355969,2025-08-08
68,SYNCOPE,3.0.14,12356192,2025-10-17
69,SYNCOPE,3.0.15,12356337,2025-11-21
70,SYNCOPE,3.0.16,12356460,2026-01-29
71,SYNCOPE,4.0.5,12356668,2026-03-31
