ProjectName,ClassName,ReleaseID,LOC,numRevisions,numRevisionsFromBegin,numFixes,numFixesFromBegin,numAuthors,numAuthorsFromBegin,churn,churnFromBegin,maxLOCAdded,maxLOCAddedFromBegin,avgLOCAdded,avgLOCAddedFromBegin,avgChangeSet,avgChangeSetFromBegin,maxChangeSet,maxChangeSetFromBegin,age,weightedAge,numOps,avgTimeBetweenCommits,numSmells,isBuggy
SYNCOPE,core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/AbstractActivitiServiceTask.java,1,49,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,0,false
SYNCOPE,console/src/main/java/org/apache/syncope/console/wicket/ajax/form/AbstractAjaxDownloadBehavior.java,1,49,3,1,0,0,1,1,104,48,50,48,33.333333333333336,48.0,615.6666666666666,1329.0,1329.0,1329.0,0,138.40384615384616,4,0.05454545454545454,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractAttr.java,1,93,16,2,1,0,5,2,272,102,99,99,12.25,49.5,223.875,665.0,1329.0,1329.0,0,334.4154411764706,11,0.03065134099616858,0,true
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractAttributable.java,1,132,37,1,2,0,4,1,938,168,168,168,17.216216216216218,168.0,115.08108108108108,1329.0,1329.0,1329.0,0,414.28891257995735,19,0.05547226386806597,0,true
SYNCOPE,core/src/main/java/org/apache/syncope/core/rest/data/AbstractAttributableDataBinder.java,1,952,86,2,4,1,4,2,4668,799,755,755,35.91860465116279,388.5,63.86046511627907,668.0,1329.0,1329.0,0,453.12339331619535,19,0.11829436038514443,8,true
SYNCOPE,common/src/main/java/org/apache/syncope/common/mod/AbstractAttributableMod.java,1,114,11,2,1,0,4,2,626,271,211,211,49.45454545454545,130.5,310.1818181818182,665.0,1329.0,1329.0,0,310.15654952076676,9,0.017133956386292833,0,false
SYNCOPE,common/src/main/java/org/apache/syncope/common/to/AbstractAttributableTO.java,1,87,19,1,2,0,3,1,456,140,140,140,17.526315789473685,140.0,190.3684210526316,1329.0,1329.0,1329.0,0,355.87719298245617,6,0.029641185647425898,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractAttrTemplate.java,1,37,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,0.0,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractAttrUniqueValue.java,1,29,5,1,1,0,3,1,62,28,28,28,9.6,28.0,560.4,1329.0,1329.0,1329.0,0,191.3709677419355,2,0.009940357852882704,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractAttrValue.java,1,294,11,1,1,0,3,1,310,164,164,164,22.636363636363637,164.0,316.6363636363636,1329.0,1329.0,1329.0,0,173.57096774193548,20,0.021611001964636542,8,false
