Data: 21/05/2026
Posizione,Progetto,Classe,Versione,Numero Smell,Tempo di Refactoring,Debito Tecnico
1,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/AbstractPropagationTasks.java,5.0.0,2,272,129.5
2,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/RemoteObjectPanel.java,5.0.0,1,270,128.6
3,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/BaseExtPage.java,5.0.0,2,302,125.8
4,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/PropagationErrorPanel.java,5.0.0,1,270,112.5
5,SYNCOPE,ext/oidcc4ui/client-console/src/main/java/org/apache/syncope/client/console/panels/OIDCSSOLoginFormPanel.java,5.0.0,1,300,111.1
6,SYNCOPE,ext/oidcc4ui/client-enduser/src/main/java/org/apache/syncope/client/enduser/panels/OIDCSSOLoginFormPanel.java,5.0.0,1,300,111.1
7,SYNCOPE,ext/saml2sp4ui/client-enduser/src/main/java/org/apache/syncope/client/enduser/panels/SAMLSSOLoginFormPanel.java,5.0.0,1,300,111.1
8,SYNCOPE,ext/saml2sp4ui/client-console/src/main/java/org/apache/syncope/client/console/panels/SAMLSSOLoginFormPanel.java,5.0.0,1,300,111.1
9,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/BaseExtPage.java,5.0.0,3,304,92.1
10,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/widgets/BaseExtWidget.java,5.0.0,2,272,90.7
11,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/EncryptedFieldPanel.java,5.0.0,4,990,89.2
12,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/LiveSyncTask.java,5.0.0,2,720,82.8
13,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/PullTasks.java,5.0.0,2,720,82.8
14,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/PushTasks.java,5.0.0,2,720,82.8
15,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/NotificationMailBodyDetails.java,5.0.0,1,270,81.8
16,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/ajax/markup/html/navigation/paging/AjaxDataNavigationToolbar.java,5.0.0,2,660,81.5
17,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/TaskExecutionDetails.java,5.0.0,2,630,77.8
18,SYNCOPE,ext/flowable/client-console/src/main/java/org/apache/syncope/client/console/panels/UserRequestFormPanel.java,5.0.0,3,542,75.3
19,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/ModalDirectoryPanel.java,5.0.0,1,270,75.0
20,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/MultiPanel.java,5.0.0,3,312,74.3
21,SYNCOPE,client/am/enduser/src/main/java/org/apache/syncope/client/enduser/pages/AuthProfile.java,5.0.0,15,4936,73.8
22,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ConnCapabilitiesPanel.java,5.0.0,1,270,69.2
23,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/panels/LinkedAccountsStatusModalPanel.java,5.0.0,1,270,69.2
24,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/AnyObjectDisplayAttributesModalPanel.java,5.0.0,2,345,67.6
25,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/GroupDisplayAttributesModalPanel.java,5.0.0,2,345,67.6
26,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/UserDisplayAttributesModalPanel.java,5.0.0,2,345,67.6
27,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/RealmPropagationTasks.java,5.0.0,2,720,66.7
28,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/ajax/markup/html/IndicatorAjaxLink.java,5.0.0,2,272,64.8
29,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/preview/DefaultPreviewer.java,5.0.0,1,270,64.3
30,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/ActionDataTablePanel.java,5.0.0,6,1655,64.1
31,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/commons/ActionTableCheckGroup.java,5.0.0,2,305,63.5
32,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/reports/ReportStartAtTogglePanel.java,5.0.0,1,360,63.2
33,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/BaseNoSidebarPage.java,5.0.0,1,300,62.5
34,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/Domains.java,5.0.0,1,300,62.5
35,SYNCOPE,ext/scimv2/client-console/src/main/java/org/apache/syncope/client/console/panels/SCIMConfExtensionGroupPanel.java,5.0.0,1,300,62.5
36,SYNCOPE,ext/scimv2/client-console/src/main/java/org/apache/syncope/client/console/panels/SCIMConfExtensionUserPanel.java,5.0.0,1,300,62.5
37,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/panels/any/SelfUserDetails.java,5.0.0,1,300,62.5
38,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/Reports.java,5.0.0,2,660,59.5
39,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/PropagationTasks.java,5.0.0,2,690,59.0
40,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/AjaxSearchFieldPanel.java,5.0.0,9,1328,57.5
41,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/AnyPropagationTasks.java,5.0.0,2,720,57.1
42,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/DerSchemaDetails.java,5.0.0,1,270,56.3
43,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/ajax/markup/html/IndicatorAjaxSubmitLink.java,5.0.0,3,304,56.3
44,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/SessionExpirationModalPanel.java,5.0.0,1,270,56.3
45,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/Dashboard.java,5.0.0,1,300,55.6
46,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/bootstrap/buttons/DefaultModalCloseButton.java,5.0.0,1,300,55.6
47,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/Parameters.java,5.0.0,1,300,55.6
48,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/panels/AbstractAnyFormPanel.java,5.0.0,5,907,54.0
49,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/ajax/form/IndicatorAjaxFormChoiceComponentUpdatingBehavior.java,5.0.0,3,304,53.3
50,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/AnyTypeModalPanel.java,5.0.0,1,270,52.9
51,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/pages/Remediations.java,5.0.0,1,300,52.6
52,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/PushTaskDirectoryPanel.java,5.0.0,1,420,51.9
53,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/ExecMessage.java,5.0.0,1,270,50.0
54,SYNCOPE,ext/scimv2/client-console/src/main/java/org/apache/syncope/client/console/pages/SCIMConfPage.java,5.0.0,1,330,50.0
55,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/TaskStartAtTogglePanel.java,5.0.0,2,660,50.0
56,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/TypesDirectoryPanel.java,5.0.0,3,342,49.6
57,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/AjaxCharacterFieldPanel.java,5.0.0,6,1292,47.9
58,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/panels/ConnObjectDetails.java,5.0.0,1,270,47.4
59,SYNCOPE,ext/scimv2/client-console/src/main/java/org/apache/syncope/client/console/panels/SCIMConfAccordionContainer.java,5.0.0,1,270,47.4
60,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/wizards/AjaxWizardMgtButtonBar.java,5.0.0,6,975,47.1
61,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/PropagationDataView.java,5.0.0,3,575,46.7
62,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/ajax/form/IndicatorAjaxFormComponentUpdatingBehavior.java,5.0.0,3,274,45.7
63,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/widgets/ItemTransformerWidget.java,5.0.0,2,540,45.0
64,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/MfaEnroll.java,5.0.0,1,270,45.0
65,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/MfaEnroll.java,5.0.0,1,270,45.0
66,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/RelationshipTypeModalPanel.java,5.0.0,1,270,45.0
67,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/StartAtTogglePanel.java,5.0.0,4,932,45.0
68,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/UserInformationPanel.java,5.0.0,1,270,45.0
69,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxDropDownChoicePanel.java,5.0.0,4,930,44.9
70,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/AjaxDecoratedCheckbox.java,5.0.0,3,334,44.5
71,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxTextFieldPanel.java,5.0.0,5,1320,44.4
72,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/commons/IdRepoAnyDirectoryPanelAdditionalActionsProvider.java,5.0.0,2,540,43.9
73,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/ImplementationEngineTogglePanel.java,5.0.0,5,645,43.9
74,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/mapping/JEXLTransformersTogglePanel.java,5.0.0,2,630,43.8
75,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ObjectTypeTogglePanel.java,5.0.0,2,630,42.9
76,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/mapping/MappingPurposePanel.java,5.0.0,7,1150,42.6
77,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxDateFieldPanel.java,5.0.0,3,380,42.2
78,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/MultiFieldPanel.java,5.0.0,5,940,41.8
79,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxPasswordFieldPanel.java,5.0.0,2,630,41.2
80,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/wicket/markup/html/bootstrap/tabs/Accordion.java,5.0.0,1,270,40.9
81,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/AnyTypeClassModalPanel.java,5.0.0,1,270,40.9
82,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/extensions/markup/html/repeater/data/table/CollectionPanel.java,5.0.0,1,270,40.9
83,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/topology/TopologyTogglePanel.java,5.0.0,23,6422,40.6
84,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/IndicatingOnConfirmAjaxLink.java,5.0.0,2,302,40.3
85,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/BaseReauthPage.java,5.0.0,1,300,40.0
86,SYNCOPE,ext/scimv2/client-console/src/main/java/org/apache/syncope/client/console/panels/SCIMConfExtensionAnyObjectPanel.java,5.0.0,1,300,40.0
87,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/Policies.java,5.0.0,2,305,39.1
88,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/extensions/markup/html/repeater/data/table/AjaxFallbackDataTable.java,5.0.0,9,1567,39.0
89,SYNCOPE,ext/flowable/client-console/src/main/java/org/apache/syncope/client/console/panels/NewBpmnProcess.java,5.0.0,3,632,39.0
90,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/AbstractChangePassword.java,5.0.0,3,605,38.8
91,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/DomainDropDown.java,5.0.0,1,360,38.7
92,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/GroupDetails.java,5.0.0,1,300,38.5
93,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/AbstractConnConfPanel.java,5.0.0,5,647,37.8
94,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/ResultPanel.java,5.0.0,2,272,37.8
95,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/widgets/JEXLTransformerWidget.java,5.0.0,2,540,37.5
