Data: 21/05/2026
Posizione,Progetto,Classe,Versione,Numero Smell,Tempo di Refactoring
1,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/topology/TopologyTogglePanel.java,5.0.0,23,6422
2,SYNCOPE,client/am/enduser/src/main/java/org/apache/syncope/client/enduser/pages/AuthProfile.java,5.0.0,15,4936
3,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/search/SearchClausePanel.java,5.0.0,32,3887
4,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/BasePage.java,5.0.0,37,3041
5,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/authprofiles/AuthProfileDirectoryPanel.java,5.0.0,19,2944
6,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/SchedTaskWizardBuilder.java,5.0.0,27,2378
7,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/pages/BaseLogin.java,5.0.0,11,2322
8,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/topology/Topology.java,5.0.0,12,2235
9,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/RealmChoicePanel.java,5.0.0,17,2192
10,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/widgets/JobWidget.java,5.0.0,19,2078
11,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/PlainAttrs.java,5.0.0,15,2050
12,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/notifications/NotificationWizardBuilder.java,5.0.0,19,2037
13,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/DomainWizardBuilder.java,5.0.0,21,2024
14,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/wizards/AuthModuleWizardBuilder.java,5.0.0,11,2003
15,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/mapping/AbstractMappingPanel.java,5.0.0,19,1892
16,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/ListViewPanel.java,5.0.0,13,1851
17,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/SelfPasswordReset.java,5.0.0,9,1824
18,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/WizardMgtPanel.java,5.0.0,12,1758
19,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/CSVPullWizardBuilder.java,5.0.0,14,1735
20,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxPalettePanel.java,5.0.0,9,1689
21,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/ActionDataTablePanel.java,5.0.0,6,1655
22,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/any/LinkedAccountPlainAttrsPanel.java,5.0.0,11,1610
23,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/OIDC.java,5.0.0,6,1590
24,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/Management.java,5.0.0,11,1584
25,SYNCOPE,ext/saml2sp4ui/client-console/src/main/java/org/apache/syncope/client/console/panels/SAML2IdPsDirectoryPanel.java,5.0.0,8,1584
26,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/Realms.java,5.0.0,7,1570
27,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/extensions/markup/html/repeater/data/table/AjaxFallbackDataTable.java,5.0.0,9,1567
28,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/bootstrap/dialog/BaseModal.java,5.0.0,7,1450
29,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/events/EventSelectionPanel.java,5.0.0,6,1442
30,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/reports/ReportWizardBuilder.java,5.0.0,9,1442
31,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/TemplatesTogglePanel.java,5.0.0,6,1442
32,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/panels/any/PlainAttrs.java,5.0.0,13,1440
33,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/pages/BaseMfaEnroll.java,5.0.0,7,1414
34,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ProvisionWizardBuilder.java,5.0.0,8,1406
35,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/events/EventCategoryPanel.java,5.0.0,13,1400
36,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/clientapps/ClientAppModalPanelBuilder.java,5.0.0,10,1378
37,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/GroupDirectoryPanel.java,5.0.0,7,1372
38,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/PlainSchemaDetails.java,5.0.0,18,1361
39,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/AjaxSearchFieldPanel.java,5.0.0,9,1328
40,SYNCOPE,ext/flowable/client-console/src/main/java/org/apache/syncope/client/console/panels/UserRequestFormDirectoryPanel.java,5.0.0,8,1324
41,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxTextFieldPanel.java,5.0.0,5,1320
42,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ConnectorDetailsPanel.java,5.0.0,17,1320
43,SYNCOPE,ext/oidcc4ui/client-console/src/main/java/org/apache/syncope/client/console/panels/OIDCProvidersDirectoryPanel.java,5.0.0,6,1306
44,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/AjaxCharacterFieldPanel.java,5.0.0,6,1292
45,SYNCOPE,ext/flowable/client-enduser/src/main/java/org/apache/syncope/client/enduser/pages/Flowable.java,5.0.0,4,1290
46,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/policies/ProvisioningPolicyModalPanel.java,5.0.0,21,1288
47,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/FormPropertyDefsPanel.java,5.0.0,14,1274
48,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/AjaxDataTablePanel.java,5.0.0,5,1265
49,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxNumberFieldPanel.java,5.0.0,31,1260
50,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/RealmWizardBuilder.java,5.0.0,4,1260
51,SYNCOPE,ext/oidcc4ui/client-console/src/main/java/org/apache/syncope/client/console/wizards/OIDCProviderWizardBuilder.java,5.0.0,20,1234
52,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AbstractMultiPanel.java,5.0.0,8,1222
53,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/CommandComposeWizardBuilder.java,5.0.0,4,1200
54,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/BinaryFieldPanel.java,5.0.0,6,1190
55,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/role/RoleWizardBuilder.java,5.0.0,6,1188
56,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/SchemaTypeWizardBuilder.java,5.0.0,5,1175
57,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/AbstractAttrsWizardStep.java,5.0.0,21,1174
58,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/DerAttrs.java,5.0.0,7,1155
59,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/mapping/MappingPurposePanel.java,5.0.0,7,1150
60,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/panels/ConnObjectListViewPanel.java,5.0.0,8,1142
61,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/panels/any/DerAttrs.java,5.0.0,6,1090
62,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/panels/SimpleListViewPanel.java,5.0.0,5,1085
63,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/RelationshipTypesPanel.java,5.0.0,5,1036
64,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/status/ReconTaskPanel.java,5.0.0,15,1032
65,SYNCOPE,ext/scimv2/client-console/src/main/java/org/apache/syncope/client/console/panels/mapping/SCIMExtensionMappingPanel.java,5.0.0,12,999
66,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/EncryptedFieldPanel.java,5.0.0,4,990
67,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/EditSecurityQuestion.java,5.0.0,6,981
68,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/wizards/AjaxWizardMgtButtonBar.java,5.0.0,6,975
69,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/RealmDirectoryPanel.java,5.0.0,8,972
70,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/ImplementationDirectoryPanel.java,5.0.0,4,968
