Cut,Selection,Balancing,Validation,Classifier,Accuracy,Precision,Recall,AUC,Kappa,TP,FP,TN,FN
YES,NO,NO,TEN_T_TEN_F,RANDOM_FOREST,0.942,0.766,0.387,0.918,0.487,4559,1393,136367,7231
YES,NO,NO,TEN_T_TEN_F,NAIVE_BAYES,0.786,0.192,0.537,0.734,0.189,6330,26579,111181,5460
YES,NO,NO,TEN_T_TEN_F,IBK,0.916,0.463,0.436,0.722,0.403,5139,5962,131798,6651
YES,NO,NO,ORDERED_HOLDOUT_80_20,RANDOM_FOREST,0.968,0.521,0.255,0.816,0.328,25,23,2870,73
YES,NO,NO,ORDERED_HOLDOUT_80_20,NAIVE_BAYES,0.811,0.064,0.347,0.664,0.055,34,501,2392,64
YES,NO,NO,ORDERED_HOLDOUT_80_20,IBK,0.952,0.247,0.235,0.616,0.216,23,70,2823,75
YES,NO,UNDERSAMPLING,TEN_T_TEN_F,RANDOM_FOREST,0.791,0.253,0.844,0.894,0.304,9951,29442,108318,1839
YES,NO,UNDERSAMPLING,TEN_T_TEN_F,NAIVE_BAYES,0.698,0.158,0.654,0.734,0.146,7709,41035,96725,4081
YES,NO,UNDERSAMPLING,TEN_T_TEN_F,IBK,0.743,0.203,0.771,0.756,0.224,9092,35798,101962,2698
YES,NO,UNDERSAMPLING,ORDERED_HOLDOUT_80_20,RANDOM_FOREST,0.789,0.098,0.663,0.825,0.120,65,599,2294,33
YES,NO,UNDERSAMPLING,ORDERED_HOLDOUT_80_20,NAIVE_BAYES,0.744,0.059,0.459,0.671,0.050,45,713,2180,53
YES,NO,UNDERSAMPLING,ORDERED_HOLDOUT_80_20,IBK,0.780,0.086,0.592,0.694,0.098,58,619,2274,40
YES,NO,SMOTE,TEN_T_TEN_F,RANDOM_FOREST,0.944,0.721,0.465,0.920,0.537,5480,2123,135637,6310
YES,NO,SMOTE,TEN_T_TEN_F,NAIVE_BAYES,0.763,0.184,0.581,0.737,0.181,6847,30452,107308,4943
YES,NO,SMOTE,TEN_T_TEN_F,IBK,0.909,0.431,0.467,0.732,0.399,5505,7257,130503,6285
YES,NO,SMOTE,ORDERED_HOLDOUT_80_20,RANDOM_FOREST,0.962,0.364,0.204,0.835,0.244,20,35,2858,78
YES,NO,SMOTE,ORDERED_HOLDOUT_80_20,NAIVE_BAYES,0.798,0.061,0.357,0.665,0.051,35,540,2353,63
YES,NO,SMOTE,ORDERED_HOLDOUT_80_20,IBK,0.904,0.129,0.337,0.639,0.146,33,223,2670,65
YES,FILTER,NO,TEN_T_TEN_F,RANDOM_FOREST,0.947,0.775,0.461,0.923,0.552,5437,1575,136185,6353
YES,FILTER,NO,TEN_T_TEN_F,NAIVE_BAYES,0.848,0.232,0.399,0.747,0.215,4704,15591,122169,7086
YES,FILTER,NO,TEN_T_TEN_F,IBK,0.913,0.443,0.422,0.718,0.385,4980,6253,131507,6810
YES,FILTER,NO,ORDERED_HOLDOUT_80_20,RANDOM_FOREST,0.970,0.577,0.306,0.810,0.386,30,22,2871,68
YES,FILTER,NO,ORDERED_HOLDOUT_80_20,NAIVE_BAYES,0.869,0.098,0.367,0.719,0.109,36,331,2562,62
YES,FILTER,NO,ORDERED_HOLDOUT_80_20,IBK,0.936,0.140,0.184,0.584,0.126,18,111,2782,80
YES,FILTER,UNDERSAMPLING,TEN_T_TEN_F,RANDOM_FOREST,0.799,0.261,0.847,0.900,0.317,9981,28263,109497,1809
YES,FILTER,UNDERSAMPLING,TEN_T_TEN_F,NAIVE_BAYES,0.723,0.167,0.634,0.747,0.160,7469,37165,100595,4321
YES,FILTER,UNDERSAMPLING,TEN_T_TEN_F,IBK,0.735,0.198,0.773,0.753,0.216,9109,36986,100774,2681
YES,FILTER,UNDERSAMPLING,ORDERED_HOLDOUT_80_20,RANDOM_FOREST,0.772,0.097,0.714,0.818,0.119,70,655,2238,28
YES,FILTER,UNDERSAMPLING,ORDERED_HOLDOUT_80_20,NAIVE_BAYES,0.790,0.083,0.541,0.726,0.093,53,583,2310,45
