Data: 21/05/2026
Posizione,Progetto,Classe,Versione,Numero Smell
1,SYNCOPE,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/types/ClientExceptionType.java,5.0.0,55
2,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/DefaultMappingManager.java,5.0.0,40
3,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/BasePage.java,5.0.0,37
4,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/search/SearchClausePanel.java,5.0.0,32
5,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxNumberFieldPanel.java,5.0.0,31
6,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/AbstractPullResultHandler.java,5.0.0,27
7,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/SchedTaskWizardBuilder.java,5.0.0,27
8,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/ConnectorFacadeProxy.java,5.0.0,24
9,SYNCOPE,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/types/EntityViolationType.java,5.0.0,24
10,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/topology/TopologyTogglePanel.java,5.0.0,23
11,SYNCOPE,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/AbstractJPAAnySearchDAO.java,5.0.0,22
12,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/AbstractAttrsWizardStep.java,5.0.0,21
13,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/DomainWizardBuilder.java,5.0.0,21
14,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/policies/ProvisioningPolicyModalPanel.java,5.0.0,21
15,SYNCOPE,ext/oidcc4ui/client-console/src/main/java/org/apache/syncope/client/console/wizards/OIDCProviderWizardBuilder.java,5.0.0,20
16,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/mapping/AbstractMappingPanel.java,5.0.0,19
17,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/authprofiles/AuthProfileDirectoryPanel.java,5.0.0,19
18,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/widgets/JobWidget.java,5.0.0,19
19,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/notifications/NotificationWizardBuilder.java,5.0.0,19
20,SYNCOPE,ext/scimv2/logic/src/main/java/org/apache/syncope/core/logic/SCIMDataBinder.java,5.0.0,19
21,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/PlainSchemaDetails.java,5.0.0,18
22,SYNCOPE,fit/build-tools/src/main/java/org/apache/syncope/fit/buildtools/cxf/ProvisioningImpl.java,5.0.0,18
23,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ConnectorDetailsPanel.java,5.0.0,17
24,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jAnySearchDAO.java,5.0.0,17
25,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmSearchDAO.java,5.0.0,17
26,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jTaskDAO.java,5.0.0,17
27,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/entity/user/Neo4jUser.java,5.0.0,17
28,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/RealmChoicePanel.java,5.0.0,17
29,SYNCOPE,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/content/ContentLoaderHandler.java,5.0.0,16
30,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/DefaultRealmPullResultHandler.java,5.0.0,16
31,SYNCOPE,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/user/JPAUser.java,5.0.0,16
32,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/propagation/AbstractPropagationTaskExecutor.java,5.0.0,15
33,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/AbstractProvisioningJobDelegate.java,5.0.0,15
34,SYNCOPE,client/am/enduser/src/main/java/org/apache/syncope/client/enduser/pages/AuthProfile.java,5.0.0,15
35,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jPolicyDAO.java,5.0.0,15
36,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/PlainAttrs.java,5.0.0,15
37,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/status/ReconTaskPanel.java,5.0.0,15
38,SYNCOPE,core/persistence-common/src/main/java/org/apache/syncope/core/persistence/common/dao/AbstractAnyMatchDAO.java,5.0.0,14
39,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/CSVPullWizardBuilder.java,5.0.0,14
